id,average-price,build-time,second-hand-resource,district,latitude,second-hand-trading,address,court,url,longtitude,house-type
58ffc08c5e986a05d1cdbb2d,110665,2003,2,东城,39.891517639160156,3,幸福大街59号,天坛公馆,https://m.fang.com/xiaoqu/bj/1010037453.html,116.43759155273438,住宅
58ffc0a65e986a05d1cdbb2e,56705,2001,21,东城,39.90556335449219,9,东花市北里西区23号、东花市北里西区24号,宝润苑,https://m.fang.com/xiaoqu/bj/1010001399.html,116.4345932006836,住宅
58ffc0aa5e986a05d1cdbb2f,94516,1999,70,东城,39.90712356567383,16,崇文门地铁东300米,东后河沿,https://m.fang.com/xiaoqu/bj/1010345663.html,116.42774200439453,住宅
58ffc0b35e986a05d1cdbb30,125831,2004,1,东城,39.9017219543457,2,崇文门外大街崇文区文化馆西侧,新世界家园二期,https://m.fang.com/xiaoqu/bj/1010316893.html,116.42330169677734,住宅
58ffc0d35e986a05d1cdbb31,72099,1996,20,东城,39.879676818847656,NULL,龙潭湖东路8号,怡龙别墅公寓,https://m.fang.com/xiaoqu/bj/1010000237.html,116.44898223876953,住宅
58ffc13c5e986a05d1cdbb32,116472,2000,6,东城,39.933589935302734,6,东四北大街西面东四四条39号,东四四条,https://m.fang.com/xiaoqu/bj/1010566465.html,116.42872619628906,住宅
58ffc1495e986a05d1cdbb33,131061,2010,221,东城,39.922332763671875,NULL,王府井霞公府7号,霞公府,https://m.fang.com/xiaoqu/bj/1010215977.html,116.41728210449219,住宅
58ffc16b5e986a05d1cdbb34,122839,2012,6,东城,39.934326171875,NULL,北河沿大街甲77号,北河沿甲柒拾柒号,https://m.fang.com/xiaoqu/bj/1010764361.html,116.41080474853516,住宅
58ffc18a5e986a05d1cdbb35,103165,2001,5,东城,39.945430755615234,NULL,北新桥地铁C口向东100米路南,九道湾南巷,https://m.fang.com/xiaoqu/bj/1010215841.html,116.42652893066406,住宅
58ffc18e5e986a05d1cdbb36,76096,1997,6,东城,39.879638671875,4,龙潭湖东路8号(龙潭湖公园南侧),怡龙别墅,https://m.fang.com/xiaoqu/bj/1010001765.html,116.44889831542969,别墅
58ffc1c55e986a05d1cdbb37,91424,2000,3,东城,39.96438217163086,NULL,和平里东街与和平里中街路口东北侧,和平东街10号院,https://m.fang.com/xiaoqu/bj/1010553663.html,116.43219757080078,住宅
58ffc23f5e986a05d1cdbb38,119782,2001,1,东城,39.93952178955078,14,地铁张自忠路站东侧,东四十条小区,https://m.fang.com/xiaoqu/bj/1010215765.html,116.42610168457031,住宅
