id,average-price,build-time,second-hand-resource,district,latitude,second-hand-trading,address,court,url,longitude,house-type
58ffba3a5e986a05d1cdbac6,99043,1995,11,东城,39.951313407555546,76,安德路乙61号院,安德路乙61号院,https://m.fang.com/xiaoqu/bj/1010413629.html,116.38753370852967,住宅
58ffba3d5e986a05d1cdbac7,113913,2000,50,东城,39.91383778421878,18,建国门北大街亚太大厦西侧100米,建国门北大街,https://m.fang.com/xiaoqu/bj/1010492223.html,116.42798526946736,住宅
58ffba425e986a05d1cdbac8,67000,1980,16,东城,39.89585291691082,31,东花市大街2号院(白桥大街西侧),东花市大街2号院,https://m.fang.com/xiaoqu/bj/1010627105.html,116.43278927398448,住宅
58ffba435e986a05d1cdbac9,87146,1990,1,东城,39.92939171893615,10,东直门王家园胡同南侧,东营房八条,https://m.fang.com/xiaoqu/bj/1010657899.html,116.43353673624418,住宅
58ffba475e986a05d1cdbaca,114655,2001,19,东城,39.91484809205337,25,王府井步行街新东安商场附近,锡拉胡同,https://m.fang.com/xiaoqu/bj/1010215971.html,116.40286723985133,住宅
58ffba4a5e986a05d1cdbacb,115135,1999,40,东城,39.92022822067092,38,王府井大饭店后边东厂胡同,东厂胡同,https://m.fang.com/xiaoqu/bj/1010215745.html,116.40294551374136,住宅
58ffba515e986a05d1cdbacc,74769,2003,2,东城,39.94244195057696,18,东直门外大街春秀路北口北100米,东直门外小街10号院,https://m.fang.com/xiaoqu/bj/1010340585.html,116.43908502130829,住宅
58ffba535e986a05d1cdbacd,67907,2001,19,东城,39.89132150371321,43,广渠门内大街与安化北里路交汇处西南角(广渠门内地铁站南侧),安化北里,https://m.fang.com/xiaoqu/bj/1010217577.html,116.42957816927384,住宅
58ffba575e986a05d1cdbace,99643,1996,56,东城,39.94113070713955,72,东直门外大街(地铁东直门站东北人饭店对面),察慈小区,https://m.fang.com/xiaoqu/bj/1010215717.html,116.43369871082884,住宅
58ffba5b5e986a05d1cdbacf,109920,1985,5,东城,39.928067328389886,18,东四十条东路南潘家坡胡同,潘家坡,https://m.fang.com/xiaoqu/bj/1010351583.html,116.43159068608047,住宅
58ffba635e986a05d1cdbad1,109987,1988,18,东城,39.94582442768419,NULL,东直门北小街西侧育树胡同,育树胡同,https://m.fang.com/xiaoqu/bj/1010631143.html,116.41803869121472,住宅
58ffba6a5e986a05d1cdbad2,93453,1995,32,东城,39.961022283115874,38,和平里西街西青年沟路23号,青年沟23号院,https://m.fang.com/xiaoqu/bj/1010661431.html,116.41066207554123,住宅
58ffba7a5e986a05d1cdbad3,98799,NULL,14,东城,39.92195515626025,6,朝阳门内东单明珠大厦后,后拐棒胡同,https://m.fang.com/xiaoqu/bj/1010675727.html,116.41784285133544,住宅
58ffba8c5e986a05d1cdbad4,81572,NULL,1,东城,39.87840681492653,NULL,天坛东路与龙潭路交口南行100米路东,西四块玉胡同,https://m.fang.com/xiaoqu/bj/1010123015.html,116.41605224761571,住宅
58ffba905e986a05d1cdbad5,86187,1976,27,东城,39.96293632179432,NULL,小黄庄前街3号院,小黄庄前街3号院,https://m.fang.com/xiaoqu/bj/1010122421.html,116.40958837759158,住宅
58ffba915e986a05d1cdbad6,117788,1985,33,东城,39.95670793084548,140,地坛北里9号(和平里北街南侧),地坛北里,https://m.fang.com/xiaoqu/bj/1010531543.html,116.40977010347326,住宅
58ffba935e986a05d1cdbad7,104764,2000,4,东城,39.95576456140007,84,安德里北街25号院,安德里北街25号院,https://m.fang.com/xiaoqu/bj/1010620663.html,116.38183934735896,住宅
58ffba9e5e986a05d1cdbad8,72642,1990,16,东城,39.87397726197821,14,天坛西里东区天坛医院旁,天坛西里东区,https://m.fang.com/xiaoqu/bj/1010502385.html,116.39601440647662,住宅
58ffbaa35e986a05d1cdbad9,101615,2000,62,东城,39.93309807034005,NULL,东四十条北侧北门仓胡同,北门仓,https://m.fang.com/xiaoqu/bj/1010528013.html,116.42168423737009,住宅
58ffbab75e986a05d1cdbada,100007,1970,27,东城,39.88060912420681,49,天坛东路与龙潭路交叉口南50米,天坛东里南区,https://m.fang.com/xiaoqu/bj/1010196955.html,116.41412401294973,住宅
58ffbabe5e986a05d1cdbadb,97452,2002,146,东城,39.88707801706504,210,天坛路87号,金鱼池中区,https://m.fang.com/xiaoqu/bj/1010197879.html,116.4037590249263,住宅
58ffbac55e986a05d1cdbadc,88586,1960,20,东城,39.95816102347788,41,和平里兴化东路12号,化工大院,https://m.fang.com/xiaoqu/bj/1010196629.html,116.41031568659902,住宅
58ffbaff5e986a05d1cdbadd,69369,NULL,2,东城,39.86487262607128,28,安乐林路与蒲黄榆五巷交点西南角,安乐林路17号(旁门,https://m.fang.com/xiaoqu/bj/1010122339.html,116.41020976830103,住宅
58ffbb095e986a05d1cdbadf,103336,2000,16,东城,39.945916094544174,32,安定门花园胡同(地铁安定门站西南500米),花园胡同,https://m.fang.com/xiaoqu/bj/1010601145.html,116.39795579036299,住宅
58ffbb1a5e986a05d1cdbae0,109602,2001,48,东城,39.91312142027073,19,朝内南小街与金宝街交叉口南150米,东堂子胡同,https://m.fang.com/xiaoqu/bj/1010215769.html,116.41363178274788,住宅
58ffbb315e986a05d1cdbae1,114538,2003,30,东城,39.93339011862833,38,北新仓胡同12号,东城区东四十条仓夹道,https://m.fang.com/xiaoqu/bj/1010397345.html,116.42530639418406,住宅
58ffbb3c5e986a05d1cdbae2,78841,1990,24,东城,39.91119084217573,32,长安街长安大戏院后100米,小羊宜宾胡同,https://m.fang.com/xiaoqu/bj/1010215989.html,116.4243227686017,住宅
58ffbb675e986a05d1cdbae3,114538,2003,30,东城,39.93339011862833,38,北新仓胡同12号,仓夹道,https://m.fang.com/xiaoqu/bj/1010397345.html,116.42530639418406,住宅
